name,total_enrollment,state,category,enrollment,share
Ashford University,51237,California,Women,36116,0.7048812381677304
Ashford University,51237,California,American Indian / Alaska Native,482,0.009407264281671449
Ashford University,51237,California,Asian,645,0.012588559049124657
Ashford University,51237,California,Black,18727,0.3654975896324921
Ashford University,51237,California,Hispanic,4792,0.09352616273396179
Ashford University,51237,California,Native Hawaiian / Pacific Islander,405,0.007904444054101529
Ashford University,51237,California,White,23596,0.46052657259402385
Ashford University,51237,California,Two Or More Races,1539,0.030036887405585806
Ashford University,51237,California,Unknown,955,0.01863887425102953
Ashford University,51237,California,Non-Resident Foreign,96,0.0018736459980092512
Ashford University,51237,California,Total Minority,26590,0.5189609071569373
University of Southern California,42453,California,Women,22112,0.5208583610110004
University of Southern California,42453,California,American Indian / Alaska Native,73,0.001719548677360846
University of Southern California,42453,California,Asian,7696,0.18128283042423385
University of Southern California,42453,California,Black,2238,0.052717122464843474
University of Southern California,42453,California,Hispanic,5286,0.12451416860999223
University of Southern California,42453,California,Native Hawaiian / Pacific Islander,104,0.002449767978705863
University of Southern California,42453,California,White,13922,0.3279391326879137
University of Southern California,42453,California,Two Or More Races,1380,0.032506536640520105
University of Southern California,42453,California,Unknown,2045,0.0481709184274374
University of Southern California,42453,California,Non-Resident Foreign,9709,0.22869997408899254
University of Southern California,42453,California,Total Minority,16777,0.3951899747956564
University of California: Los Angeles,41845,California,Women,22106,0.5282829489783726
University of California: Los Angeles,41845,California,American Indian / Alaska Native,66,0.0015772493726849085
University of California: Los Angeles,41845,California,Asian,11257,0.2690166089138487
University of California: Los Angeles,41845,California,Black,1229,0.029370295136814436
University of California: Los Angeles,41845,California,Hispanic,7066,0.16886127374835702
University of California: Los Angeles,41845,California,Native Hawaiian / Pacific Islander,114,0.00272433982554666
University of California: Los Angeles,41845,California,White,12824,0.30646433265623135
University of California: Los Angeles,41845,California,Two Or More Races,1825,0.043613334926514515
University of California: Los Angeles,41845,California,Unknown,1042,0.024901421914207193
University of California: Los Angeles,41845,California,Non-Resident Foreign,6422,0.1534711435057952
University of California: Los Angeles,41845,California,Total Minority,21557,0.5151631019237662
California State University: Northridge,40131,California,Women,22133,0.5515187760085719
California State University: Northridge,40131,California,American Indian / Alaska Native,65,0.0016196954972465176
California State University: Northridge,40131,California,Asian,4379,0.10911763972988463
California State University: Northridge,40131,California,Black,2166,0.053973237646707035
California State University: Northridge,40131,California,Hispanic,15855,0.39508110936682367
California State University: Northridge,40131,California,Native Hawaiian / Pacific Islander,92,0.0022924920884104557
California State University: Northridge,40131,California,White,10379,0.25862799332187086
California State University: Northridge,40131,California,Two Or More Races,1289,0.03211980763001171
California State University: Northridge,40131,California,Unknown,2400,0.059804141436794495
California State University: Northridge,40131,California,Non-Resident Foreign,3506,0.08736388328225063
California State University: Northridge,40131,California,Total Minority,23846,0.594203981959084
California State University: Fullerton,38128,California,Women,21162,0.5550251783466219
California State University: Fullerton,38128,California,American Indian / Alaska Native,68,0.0017834662190516156
